doc_index,register,n_tokens,n_sents,pos_counts_json,n_unique_lemmas,top_deprel_json
33,informal,31,4,"{""ADJ"": 3, ""ADP"": 1, ""ADV"": 4, ""AUX"": 2, ""DET"": 1, ""NOUN"": 3, ""PART"": 2, ""PRON"": 5, ""PROPN"": 1, ""PUNCT"": 4, ""SPACE"": 1, ""VERB"": 4}",20,"{""advmod"": 6, ""ROOT"": 4, ""punct"": 4, ""nsubj"": 4, ""dep"": 3, ""acl:relcl"": 1, ""amod"": 1, ""conj"": 1, ""cop"": 1, ""ccomp"": 1, ""det"": 1, ""obj"": 1}"
34,informal,99,8,"{""ADJ"": 6, ""ADP"": 7, ""ADV"": 12, ""AUX"": 7, ""CCONJ"": 5, ""DET"": 4, ""NOUN"": 18, ""PRON"": 8, ""PROPN"": 4, ""PUNCT"": 16, ""SCONJ"": 2, ""SPACE"": 1, ""VERB"": 9}",65,"{""punct"": 16, ""advmod"": 11, ""conj"": 9, ""ROOT"": 8, ""nsubj"": 8, ""case"": 7, ""obl"": 7, ""cc"": 5, ""obj"": 4, ""amod"": 4, ""nmod"": 3, ""cop"": 3}"
35,informal,109,8,"{""ADJ"": 6, ""ADP"": 10, ""ADV"": 12, ""AUX"": 7, ""CCONJ"": 5, ""DET"": 4, ""NOUN"": 21, ""PART"": 1, ""PRON"": 11, ""PROPN"": 3, ""PUNCT"": 15, ""SCONJ"": 3, ""SPACE"": 1, ""VERB"": 10}",68,"{""punct"": 15, ""advmod"": 11, ""case"": 10, ""nsubj"": 10, ""ROOT"": 8, ""obl"": 8, ""conj"": 8, ""nmod"": 5, ""cc"": 5, ""obj"": 4, ""amod"": 4, ""aux"": 4}"
36,informal,98,8,"{""ADJ"": 7, ""ADP"": 7, ""ADV"": 11, ""AUX"": 6, ""CCONJ"": 5, ""DET"": 4, ""NOUN"": 18, ""PRON"": 9, ""PROPN"": 3, ""PUNCT"": 16, ""SCONJ"": 3, ""SPACE"": 1, ""VERB"": 8}",66,"{""punct"": 16, ""advmod"": 11, ""nsubj"": 9, ""conj"": 9, ""ROOT"": 8, ""case"": 7, ""obl"": 6, ""cc"": 5, ""cop"": 4, ""nmod"": 3, ""mark"": 3, ""obj"": 3}"
37,informal,48,7,"{""ADJ"": 3, ""ADP"": 5, ""ADV"": 8, ""AUX"": 5, ""CCONJ"": 1, ""DET"": 1, ""NOUN"": 7, ""PRON"": 4, ""PROPN"": 1, ""PUNCT"": 7, ""SPACE"": 1, ""VERB"": 5}",32,"{""punct"": 8, ""ROOT"": 7, ""advmod"": 6, ""case"": 4, ""obj"": 3, ""nsubj"": 3, ""cc"": 3, ""aux"": 2, ""obl"": 2, ""conj"": 2, ""dep"": 2, ""compound:prt"": 1}"
38,informal,113,6,"{""ADJ"": 8, ""ADP"": 13, ""ADV"": 15, ""AUX"": 7, ""CCONJ"": 3, ""DET"": 5, ""NOUN"": 17, ""NUM"": 1, ""PART"": 3, ""PRON"": 10, ""PROPN"": 3, ""PUNCT"": 10, ""SCONJ"": 3, ""SPACE"": 1, ""VERB"": 14}",64,"{""advmod"": 17, ""punct"": 11, ""nsubj"": 9, ""case"": 9, ""obl"": 7, ""obj"": 6, ""aux"": 6, ""ROOT"": 6, ""mark"": 6, ""conj"": 5, ""det"": 5, ""compound:prt"": 3}"
39,informal,33,5,"{""ADJ"": 2, ""ADP"": 5, ""ADV"": 2, ""AUX"": 1, ""DET"": 1, ""NOUN"": 6, ""PRON"": 2, ""PROPN"": 3, ""PUNCT"": 6, ""SPACE"": 1, ""VERB"": 4}",21,"{""punct"": 6, ""ROOT"": 5, ""case"": 4, ""obl"": 3, ""conj"": 3, ""nsubj"": 2, ""compound:prt"": 2, ""dep"": 2, ""obj"": 1, ""aux"": 1, ""det"": 1, ""advmod"": 1}"
40,informal,57,3,"{""ADJ"": 3, ""ADP"": 7, ""ADV"": 4, ""AUX"": 2, ""CCONJ"": 2, ""DET"": 1, ""NOUN"": 11, ""PRON"": 3, ""PROPN"": 4, ""PUNCT"": 5, ""SPACE"": 1, ""SYM"": 8, ""VERB"": 6}",26,"{""conj"": 8, ""cc"": 8, ""case"": 7, ""obl"": 5, ""punct"": 5, ""dep"": 4, ""ROOT"": 3, ""obj"": 2, ""aux"": 2, ""nsubj"": 2, ""advmod"": 2, ""nsubj:pass"": 2}"
41,informal,270,14,"{""ADJ"": 22, ""ADP"": 25, ""ADV"": 20, ""AUX"": 16, ""CCONJ"": 12, ""DET"": 14, ""NOUN"": 37, ""NUM"": 1, ""PART"": 10, ""PRON"": 35, ""PROPN"": 3, ""PUNCT"": 23, ""SCONJ"": 8, ""SPACE"": 1, ""VERB"": 43}",115,"{""nsubj"": 24, ""punct"": 23, ""obj"": 21, ""case"": 21, ""obl"": 20, ""mark"": 19, ""advmod"": 18, ""det"": 14, ""ROOT"": 14, ""amod"": 14, ""aux"": 13, ""cc"": 13}"
42,informal,243,15,"{""ADJ"": 19, ""ADP"": 22, ""ADV"": 17, ""AUX"": 12, ""CCONJ"": 9, ""DET"": 14, ""NOUN"": 33, ""NUM"": 1, ""PART"": 11, ""PRON"": 34, ""PROPN"": 2, ""PUNCT"": 23, ""SCONJ"": 6, ""SPACE"": 1, ""VERB"": 39}",104,"{""punct"": 23, ""nsubj"": 23, ""obj"": 21, ""case"": 18, ""mark"": 17, ""advmod"": 16, ""obl"": 16, ""ROOT"": 15, ""det"": 14, ""amod"": 12, ""aux"": 10, ""cc"": 10}"
