doc_index,register,pca1,pca2,explained_var_pc1,explained_var_pc2
215,informal,-0.078143865,-0.25060686,0.078987226,0.055545554
216,informal,-0.30092558,-0.09941309,0.078987226,0.055545554
217,informal,-0.27067655,-0.088026755,0.078987226,0.055545554
218,informal,-0.29444212,-0.041820362,0.078987226,0.055545554
219,informal,-0.3102157,-0.052782454,0.078987226,0.055545554
220,informal,-0.23630883,0.017617859,0.078987226,0.055545554
221,informal,-0.30317888,-0.050670646,0.078987226,0.055545554
222,informal,-0.2683716,-0.09000919,0.078987226,0.055545554
223,informal,-0.28273714,-0.06296469,0.078987226,0.055545554
224,informal,-0.20089668,-0.1609632,0.078987226,0.055545554
225,informal,-0.30872384,-0.14148852,0.078987226,0.055545554
226,informal,-0.25350705,-0.08178414,0.078987226,0.055545554
227,informal,-0.2591954,-0.18230702,0.078987226,0.055545554
228,informal,-0.28126606,-0.08672467,0.078987226,0.055545554
229,informal,-0.12264465,-0.097284056,0.078987226,0.055545554
230,informal,-0.33502975,-0.08774335,0.078987226,0.055545554
231,informal,-0.36289832,-0.06989402,0.078987226,0.055545554
232,informal,-0.11950788,-0.054732684,0.078987226,0.055545554
233,informal,-0.28621715,-0.11115063,0.078987226,0.055545554
234,informal,-0.35058156,-0.076269895,0.078987226,0.055545554
235,informal,0.04029062,-0.21950608,0.078987226,0.055545554
236,informal,0.06795626,-0.107622564,0.078987226,0.055545554
237,informal,0.039474804,-0.06713985,0.078987226,0.055545554
238,informal,-0.0069032083,-0.10740373,0.078987226,0.055545554
239,informal,0.014761796,-0.13149765,0.078987226,0.055545554
240,informal,-0.051666025,-0.1324452,0.078987226,0.055545554
241,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
242,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
243,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
244,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
245,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
246,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
247,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
248,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
249,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
250,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
251,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
252,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
253,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
254,informal,-0.054905754,-0.16338407,0.078987226,0.055545554
255,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
256,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
257,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
258,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
259,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
260,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
261,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
262,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
263,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
264,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
265,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
266,informal,-0.05490574,-0.16338417,0.078987226,0.055545554
267,informal,0.2821913,-0.05313147,0.078987226,0.055545554
268,informal,0.08640427,0.11156465,0.078987226,0.055545554
269,informal,0.17958508,0.030676084,0.078987226,0.055545554
270,informal,0.23011573,-0.17111382,0.078987226,0.055545554
271,informal,0.19007613,0.08496516,0.078987226,0.055545554
272,informal,0.17214715,-0.006820603,0.078987226,0.055545554
273,informal,0.11210199,0.24670963,0.078987226,0.055545554
274,informal,0.54843974,0.21503739,0.078987226,0.055545554
275,informal,0.54843974,0.21503739,0.078987226,0.055545554
276,informal,0.54843974,0.21503739,0.078987226,0.055545554
277,informal,0.54843974,0.21503739,0.078987226,0.055545554
278,informal,0.54843974,0.21503739,0.078987226,0.055545554
279,informal,0.54843974,0.21503739,0.078987226,0.055545554
280,informal,0.54843974,0.21503739,0.078987226,0.055545554
281,informal,0.54843974,0.21503739,0.078987226,0.055545554
282,informal,0.54843974,0.21503739,0.078987226,0.055545554
283,informal,0.54843974,0.21503739,0.078987226,0.055545554
284,informal,0.54843974,0.21503739,0.078987226,0.055545554
285,informal,0.54843974,0.21503739,0.078987226,0.055545554
286,informal,0.54843974,0.21503739,0.078987226,0.055545554
287,informal,0.54843974,0.21503739,0.078987226,0.055545554
288,informal,0.54843974,0.21503739,0.078987226,0.055545554
289,informal,0.54843974,0.21503739,0.078987226,0.055545554
290,informal,0.54843974,0.21503739,0.078987226,0.055545554
291,informal,0.54843974,0.21503739,0.078987226,0.055545554
292,informal,0.54843974,0.21503739,0.078987226,0.055545554
293,informal,0.54843974,0.21503739,0.078987226,0.055545554
294,informal,-0.27718738,-0.04353255,0.078987226,0.055545554
295,informal,-0.26558658,-0.076396,0.078987226,0.055545554
296,informal,-0.278432,-0.033347122,0.078987226,0.055545554
297,informal,-0.28338614,-0.059169523,0.078987226,0.055545554
298,informal,-0.32719877,0.25857443,0.078987226,0.055545554
299,informal,-0.32242313,0.2609057,0.078987226,0.055545554
300,informal,-0.327175,0.25795013,0.078987226,0.055545554
301,informal,-0.326255,0.25830147,0.078987226,0.055545554
302,informal,0.19480197,0.3444503,0.078987226,0.055545554
303,informal,0.19673975,0.34261253,0.078987226,0.055545554
304,informal,0.19480197,0.3444503,0.078987226,0.055545554
305,informal,0.19480199,0.3444503,0.078987226,0.055545554
306,informal,0.19185409,0.3451425,0.078987226,0.055545554
307,informal,0.198431,0.34456375,0.078987226,0.055545554
308,informal,0.19480197,0.3444503,0.078987226,0.055545554
309,informal,0.19609796,0.34476322,0.078987226,0.055545554
310,informal,0.19480197,0.3444503,0.078987226,0.055545554
311,informal,0.19480197,0.3444503,0.078987226,0.055545554
312,informal,0.19504002,0.3453444,0.078987226,0.055545554
313,informal,0.19315137,0.3426362,0.078987226,0.055545554
314,informal,0.19491419,0.34482408,0.078987226,0.055545554
315,informal,0.19259173,0.3439399,0.078987226,0.055545554
316,informal,0.18836397,0.34182602,0.078987226,0.055545554
317,informal,0.19366834,0.34303683,0.078987226,0.055545554
318,informal,0.19086468,0.33367595,0.078987226,0.055545554
319,informal,0.19315137,0.3426362,0.078987226,0.055545554
320,informal,0.19480197,0.3444503,0.078987226,0.055545554
321,informal,0.19120538,0.3406549,0.078987226,0.055545554
322,informal,0.19780332,0.34523737,0.078987226,0.055545554
323,informal,0.19236895,0.34309694,0.078987226,0.055545554
324,informal,0.19839168,0.35013336,0.078987226,0.055545554
325,informal,0.19185409,0.3451425,0.078987226,0.055545554
326,informal,0.18787083,0.34018654,0.078987226,0.055545554
327,informal,0.19247474,0.34459314,0.078987226,0.055545554
328,informal,0.19120538,0.3406549,0.078987226,0.055545554
329,informal,0.19839168,0.35013336,0.078987226,0.055545554
330,informal,0.19226788,0.3448984,0.078987226,0.055545554
331,informal,0.19711287,0.34336114,0.078987226,0.055545554
