Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADJ:0.0769 | ADP:0.0769 | ADV:0.0769 | AUX:0.0769 | DET:0.1538 | NOUN:0.2308 | PRON:0.0769 | PUNCT:0.1538 | VERB:0.0769,ADJ:0.0455 | ADP:0.0758 | ADV:0.1212 | AUX:0.0152 | CCONJ:0.0303 | DET:0.0152 | INTJ:0.0152 | NOUN:0.1970 | NUM:0.0152 | PRON:0.0758 | PROPN:0.0303 | PUNCT:0.1364 | SCONJ:0.0455 | SYM:0.0152 | VERB:0.1667,13,66
ADP:0.0625 | ADV:0.1875 | AUX:0.0625 | DET:0.0625 | NOUN:0.0625 | PART:0.1250 | PRON:0.1250 | PUNCT:0.1250 | VERB:0.1875,ADJ:0.0652 | ADP:0.0870 | ADV:0.0652 | AUX:0.0435 | CCONJ:0.0217 | DET:0.0435 | INTJ:0.0217 | NOUN:0.1304 | PART:0.0217 | PRON:0.1087 | PROPN:0.0435 | PUNCT:0.1304 | SCONJ:0.0435 | VERB:0.1739,16,46
ADJ:0.0667 | ADP:0.0667 | ADV:0.1333 | AUX:0.1333 | CCONJ:0.0667 | NOUN:0.1333 | PROPN:0.1333 | PUNCT:0.1333 | VERB:0.1333,ADJ:0.0629 | ADP:0.0769 | ADV:0.1189 | AUX:0.0420 | CCONJ:0.0559 | DET:0.0070 | NOUN:0.1888 | PART:0.0280 | PRON:0.0559 | PROPN:0.0699 | PUNCT:0.1608 | SCONJ:0.0210 | VERB:0.1119,15,143
ADJ:0.0400 | ADP:0.1600 | ADV:0.0800 | AUX:0.0800 | CCONJ:0.0400 | NOUN:0.2000 | PART:0.0400 | PRON:0.1200 | PROPN:0.0400 | PUNCT:0.0400 | SCONJ:0.0400 | VERB:0.1200,ADJ:0.0573 | ADP:0.1019 | ADV:0.1083 | AUX:0.0510 | CCONJ:0.0446 | DET:0.0191 | NOUN:0.1783 | NUM:0.0064 | PART:0.0382 | PRON:0.0446 | PROPN:0.0446 | PUNCT:0.1401 | SCONJ:0.0318 | VERB:0.1338,25,157
ADJ:0.1429 | ADP:0.0714 | ADV:0.0714 | AUX:0.0714 | CCONJ:0.0714 | NOUN:0.1429 | PRON:0.0714 | PROPN:0.0714 | PUNCT:0.1429 | SCONJ:0.0714 | VERB:0.0714,ADJ:0.0602 | ADP:0.0752 | ADV:0.1278 | AUX:0.0526 | CCONJ:0.0451 | DET:0.0226 | NOUN:0.1955 | PART:0.0075 | PRON:0.0752 | PROPN:0.0602 | PUNCT:0.1429 | SCONJ:0.0451 | VERB:0.0902,14,133
ADJ:0.0370 | ADP:0.0370 | ADV:0.2593 | AUX:0.1481 | CCONJ:0.0370 | NOUN:0.1481 | PRON:0.0741 | PUNCT:0.1852 | VERB:0.0741,ADJ:0.0610 | ADP:0.0854 | ADV:0.0793 | AUX:0.0366 | CCONJ:0.0610 | DET:0.0183 | NOUN:0.1951 | PART:0.0427 | PRON:0.0549 | PROPN:0.0427 | PUNCT:0.1707 | SCONJ:0.0305 | VERB:0.1220,27,164
ADJ:0.0652 | ADP:0.0978 | ADV:0.1522 | AUX:0.0652 | CCONJ:0.0326 | DET:0.0435 | NOUN:0.1413 | NUM:0.0109 | PART:0.0326 | PRON:0.0978 | PROPN:0.0217 | PUNCT:0.0870 | SCONJ:0.0326 | VERB:0.1196,ADJ:0.0465 | ADP:0.0698 | ADV:0.1163 | AUX:0.0310 | CCONJ:0.0698 | DET:0.0233 | NOUN:0.2171 | NUM:0.0078 | PART:0.0233 | PRON:0.0465 | PROPN:0.0310 | PUNCT:0.1705 | SCONJ:0.0310 | VERB:0.1163,92,129
ADP:0.0833 | ADV:0.0833 | NOUN:0.2500 | PROPN:0.1667 | PUNCT:0.3333 | VERB:0.0833,ADJ:0.0561 | ADP:0.1215 | ADV:0.0748 | AUX:0.0280 | CCONJ:0.0467 | DET:0.0280 | NOUN:0.2336 | PART:0.0374 | PRON:0.0280 | PROPN:0.0467 | PUNCT:0.1589 | SCONJ:0.0280 | VERB:0.1121,12,107
ADJ:0.0278 | ADP:0.0833 | ADV:0.0833 | AUX:0.0278 | CCONJ:0.0556 | NOUN:0.2222 | PRON:0.0278 | PROPN:0.0833 | PUNCT:0.0833 | SYM:0.2222 | VERB:0.0833,ADJ:0.0405 | ADP:0.0809 | ADV:0.1676 | AUX:0.0520 | CCONJ:0.0231 | DET:0.0231 | NOUN:0.1445 | PART:0.0231 | PRON:0.0867 | PROPN:0.0520 | PUNCT:0.1214 | SCONJ:0.0520 | VERB:0.1329,36,173
ADJ:0.0682 | ADP:0.1364 | ADV:0.1136 | AUX:0.0909 | CCONJ:0.0682 | NOUN:0.1364 | PART:0.0227 | PRON:0.0909 | PROPN:0.0227 | PUNCT:0.0455 | SCONJ:0.0455 | VERB:0.1591,ADJ:0.0653 | ADP:0.0980 | ADV:0.0612 | AUX:0.0286 | CCONJ:0.0449 | DET:0.0286 | NOUN:0.2041 | NUM:0.0041 | PART:0.0286 | PRON:0.0612 | PROPN:0.0735 | PUNCT:0.1673 | SCONJ:0.0122 | VERB:0.1224,44,245
