Abstract_Dep_Counts,Generated_Abstract_Dep_Counts
ROOT:4 | acl:1 | advcl:2 | advmod:16 | amod:2 | appos:1 | aux:5 | case:6 | cc:3 | ccomp:1 | compound:prt:2 | conj:4 | cop:1 | det:4 | dislocated:1 | fixed:1 | iobj:1 | mark:6 | nmod:2 | nmod:poss:1 | nsubj:7 | obj:5 | obl:6 | punct:8 | xcomp:2,ROOT:9 | acl:relcl:2 | advcl:3 | advmod:24 | amod:7 | aux:4 | case:18 | cc:13 | compound:prt:3 | conj:14 | cop:4 | dep:1 | det:4 | expl:1 | fixed:3 | mark:6 | nmod:3 | nmod:poss:1 | nsubj:14 | obj:12 | obl:15 | parataxis:5 | punct:30 | xcomp:3
ROOT:2 | case:1 | compound:prt:1 | conj:2 | flat:name:1 | obl:1 | punct:4,ROOT:7 | acl:1 | advcl:7 | advmod:19 | amod:8 | aux:5 | aux:pass:1 | case:15 | cc:14 | compound:prt:2 | conj:20 | cop:5 | dep:2 | det:8 | expl:2 | fixed:1 | mark:13 | nmod:12 | nsubj:14 | obj:19 | obl:7 | parataxis:6 | punct:24 | xcomp:2
ROOT:1 | advmod:1 | amod:1 | appos:1 | aux:1 | case:4 | cc:8 | conj:7 | dep:1 | fixed:2 | nmod:2 | nsubj:pass:1 | obj:1 | obl:2 | punct:3,ROOT:10 | acl:relcl:2 | advcl:11 | advmod:28 | amod:6 | appos:1 | aux:7 | case:9 | cc:17 | compound:prt:4 | conj:20 | cop:5 | csubj:2 | dep:7 | det:8 | dislocated:1 | expl:2 | fixed:2 | iobj:1 | mark:13 | nmod:1 | nsubj:22 | nummod:3 | obj:17 | obl:10 | parataxis:6 | punct:31 | xcomp:2
ROOT:2 | acl:relcl:1 | advcl:2 | advmod:4 | amod:2 | aux:3 | case:4 | cc:3 | ccomp:1 | compound:prt:2 | conj:3 | cop:1 | mark:4 | nsubj:3 | obj:3 | obl:4 | punct:2,ROOT:16 | acl:1 | acl:relcl:4 | advcl:5 | advmod:26 | amod:21 | appos:3 | aux:6 | case:17 | cc:20 | compound:prt:5 | conj:20 | cop:7 | csubj:1 | dep:7 | det:8 | dislocated:2 | expl:1 | fixed:1 | mark:10 | nmod:6 | nsubj:27 | obj:20 | obl:12 | parataxis:8 | punct:47 | xcomp:2
ROOT:2 | advcl:1 | advmod:2 | case:1 | compound:prt:1 | mark:2 | nsubj:2 | obj:3 | obl:1 | punct:2,ROOT:15 | acl:1 | acl:relcl:4 | advcl:8 | advmod:36 | amod:17 | appos:3 | aux:13 | case:27 | cc:25 | ccomp:1 | compound:prt:2 | conj:31 | cop:11 | csubj:1 | dep:6 | det:11 | expl:6 | iobj:1 | mark:15 | nmod:4 | nmod:poss:1 | nsubj:35 | nsubj:pass:2 | nummod:6 | obj:21 | obl:21 | parataxis:6 | punct:72 | xcomp:6
ROOT:4 | acl:relcl:1 | advcl:2 | advmod:9 | amod:2 | aux:3 | case:6 | cc:1 | compound:prt:1 | conj:1 | cop:2 | csubj:1 | det:2 | fixed:6 | flat:name:1 | mark:3 | nmod:2 | nmod:poss:2 | nsubj:6 | nummod:1 | obj:5 | obl:5 | parataxis:1 | punct:5 | xcomp:1,ROOT:13 | acl:3 | acl:relcl:4 | advcl:10 | advmod:32 | amod:17 | aux:10 | case:18 | cc:18 | ccomp:1 | compound:prt:3 | conj:20 | cop:8 | dep:7 | det:12 | dislocated:1 | expl:3 | mark:24 | nmod:9 | nsubj:26 | nsubj:pass:2 | nummod:3 | obj:18 | obl:13 | parataxis:10 | punct:42 | xcomp:2
ROOT:18 | acl:cleft:1 | acl:relcl:6 | advcl:12 | advmod:33 | amod:20 | appos:1 | aux:14 | aux:pass:1 | case:25 | cc:9 | ccomp:2 | compound:prt:2 | conj:7 | cop:6 | csubj:1 | det:13 | dislocated:1 | expl:2 | fixed:5 | iobj:2 | mark:20 | nmod:5 | nmod:poss:7 | nsubj:32 | nsubj:pass:2 | nummod:1 | obj:19 | obl:18 | obl:agent:1 | parataxis:3 | punct:29 | xcomp:3,ROOT:14 | acl:1 | acl:relcl:3 | advcl:10 | advmod:29 | amod:16 | appos:2 | aux:11 | case:22 | cc:23 | ccomp:5 | compound:prt:2 | conj:28 | cop:5 | dep:7 | det:9 | expl:3 | fixed:6 | iobj:1 | mark:16 | nmod:8 | nmod:poss:3 | nsubj:27 | nsubj:pass:2 | nummod:1 | obj:25 | obl:11 | parataxis:6 | punct:79 | xcomp:4
ROOT:2 | advcl:1 | advmod:1 | aux:1 | case:3 | expl:1 | nmod:1 | nsubj:3 | obj:1 | obl:1 | punct:3,ROOT:17 | acl:1 | acl:relcl:3 | advcl:12 | advmod:27 | amod:15 | appos:1 | aux:10 | case:24 | cc:16 | ccomp:2 | compound:prt:3 | conj:20 | cop:7 | csubj:1 | dep:7 | det:10 | expl:2 | fixed:4 | mark:20 | nmod:5 | nmod:poss:1 | nsubj:30 | nsubj:pass:1 | nummod:4 | obj:30 | obl:19 | parataxis:5 | punct:58 | xcomp:2
ROOT:1 | advmod:1 | case:1 | compound:prt:1 | nsubj:1 | obl:1 | punct:1,ROOT:5 | acl:1 | advcl:8 | advmod:16 | amod:6 | aux:4 | case:12 | cc:8 | compound:prt:2 | conj:7 | cop:4 | csubj:1 | dep:1 | det:6 | dislocated:1 | mark:11 | nmod:4 | nsubj:16 | obj:14 | obl:7 | obl:agent:1 | parataxis:2 | punct:13 | xcomp:2
ROOT:4 | advmod:1 | amod:2 | case:4 | cc:1 | cop:2 | det:2 | nmod:2 | nmod:poss:1 | nsubj:3 | obl:2 | punct:3,ROOT:2 | advmod:5 | amod:1 | appos:1 | case:2 | cc:3 | ccomp:1 | conj:4 | cop:1 | det:1 | nsubj:1 | parataxis:1 | punct:23 | xcomp:2
ROOT:4 | acl:cleft:1 | acl:relcl:3 | advcl:1 | advmod:3 | amod:5 | aux:2 | case:9 | cc:3 | ccomp:1 | conj:2 | cop:4 | dep:1 | det:5 | expl:1 | fixed:1 | iobj:1 | mark:4 | nmod:3 | nmod:poss:1 | nsubj:7 | nummod:1 | obj:4 | obl:4 | punct:4 | xcomp:1,ROOT:5 | acl:relcl:3 | advcl:1 | advmod:14 | amod:3 | aux:4 | case:6 | cc:8 | ccomp:1 | conj:5 | cop:3 | csubj:1 | dep:1 | det:2 | expl:2 | fixed:2 | mark:4 | nmod:4 | nsubj:11 | nsubj:pass:1 | obj:5 | obl:2 | punct:11 | xcomp:2
