doc_index,register,char_count,word_count,rough_syllable_count_sv,textstat_flesch_reading_ease,textstat_flesch_kincaid_grade,textstat_gunning_fog,textstat_smog_index
22,formal,1490,199,451,32.741022613065354,13.63632663316583,16.60321608040201,14.975302809339372
23,formal,1108,171,326,46.422720588235336,12.06338235294118,14.852941176470589,13.624085052395262
24,formal,1779,247,548,39.25057692307695,12.167637362637361,14.83042220936958,13.707050652182112
25,formal,7440,991,2203,35.64890756302523,13.094830442815425,16.04918052327314,14.582561973415313
26,formal,544,75,164,24.243750000000006,14.535833333333336,17.1,15.247664890283005
27,formal,952,130,298,30.498846153846188,13.619010989010992,16.043956043956047,14.554592549557764
28,formal,1593,224,503,28.570892857142866,13.249107142857145,15.32857142857143,13.925175675911131
29,formal,1280,198,393,38.57738636363638,14.027146464646464,16.76868686868687,14.90622815163357
30,formal,1841,266,546,43.62041958041959,12.220151515151517,14.941258741258743,13.757784519515319
31,formal,462,82,145,62.22262195121952,9.673292682926832,13.078048780487805,12.161744961471694
32,formal,1608,239,490,46.02365918600228,12.237611259033859,15.050741726892355,13.747043046817236
33,formal,1463,207,438,41.49916387959868,11.426763285024158,14.485172798216277,13.397384779245865
34,formal,1244,187,363,56.57251336898398,9.591871657754012,12.789304812834224,12.24349002098031
35,formal,481,83,141,62.555742971887554,11.407228915662653,15.40401606425703,13.023866798666859
36,formal,2704,400,843,42.78594444444445,12.812166666666666,16.48888888888889,14.867677710551934
37,formal,1329,197,384,54.0675239706712,11.155803722504235,13.831697687535252,12.650343791298138
38,formal,2798,416,835,44.22937349397591,11.214120481927715,13.579759036144578,12.823951912226406
39,formal,950,126,296,43.56785714285715,10.660476190476192,13.536507936507938,12.650343791298138
40,formal,1290,184,381,51.00247035573125,10.30102766798419,12.560474308300396,12.079253325248377
41,formal,1104,146,337,36.45187739463603,12.17747126436782,14.444444444444446,13.383793397009324
42,formal,1296,191,390,46.178838350785355,12.749522251308903,16.04214659685864,14.37465228746014
43,formal,957,130,291,31.43388888888893,12.463333333333335,15.00854700854701,13.5591
44,formal,1512,199,471,26.78926381909551,14.466477386934674,16.60321608040201,14.975302809339372
45,formal,1053,151,306,42.45588668138339,11.505651214128036,13.598528329654158,12.838901577100671
46,formal,933,136,290,42.20310457516342,11.126862745098041,13.691503267973856,12.838901577100671
47,formal,790,116,246,53.018563218390824,10.667241379310347,14.285057471264366,13.5591
48,formal,1980,282,602,36.67214285714289,13.112857142857145,17.0,15.247664890283005
49,formal,746,102,244,28.540764705882367,14.346392156862745,16.78745098039216,15.112257680678326
50,formal,943,136,294,42.82516339869284,11.040098039215689,12.809150326797386,12.261556223090622
51,formal,1447,223,432,49.304818589482295,11.418605788830007,14.387117814920508,13.319297830178854
52,formal,889,127,260,26.509118110236216,15.871905511811025,20.553700787401574,17.80541091248751
53,formal,867,124,264,40.7070071684588,11.00430107526882,13.898207885304661,12.838901577100671
54,formal,1601,203,496,10.879361658456503,15.944445812807885,18.983415435139573,16.11434528070225
55,formal,855,142,259,52.19570422535213,11.018611670020125,13.748088531187122,12.785403640627713
56,formal,1452,223,432,51.040858744394626,11.680094170403589,15.377399103139016,13.968273953766033
57,formal,309,46,96,50.366565217391326,8.519739130434786,11.50608695652174,10.793553405168563
58,formal,1387,197,444,15.50604058721936,19.087642487046633,21.364075993091536,18.062587368997235
59,formal,800,114,253,36.01405263157895,13.90024561403509,16.83929824561404,15.112257680678326
60,formal,1231,154,395,34.08971428571431,12.330285714285715,15.510649350649352,13.968273953766033
61,formal,250,35,80,22.289642857142866,14.497857142857146,18.428571428571427,15.903189008614273
62,formal,857,116,255,33.857155172413826,12.139137931034483,16.83448275862069,14.554592549557764
63,formal,1384,203,411,26.410076628352527,15.179080459770116,19.071483305966066,16.728156217252725
64,formal,793,113,252,33.4926179941003,13.26650442477876,16.028908554572272,14.554592549557764
65,formal,1347,193,400,47.85275388601039,11.379487046632129,14.352124352331607,13.348371206891418
66,formal,1400,203,423,43.969030172413795,13.430387931034485,16.258374384236454,14.37465228746014
67,formal,951,133,302,20.860645363408537,15.856503759398496,19.392982456140352,16.92669308720184
68,formal,989,142,306,44.04551056338033,11.525457746478875,13.86056338028169,13.023866798666859
69,formal,1772,254,557,34.45700484554817,13.30716535433071,15.216959418534223,13.991409890343128
70,formal,1924,279,605,29.32940322580646,16.099602150537635,18.615197132616487,16.15616582465906
