doc_index,register,n_tokens,n_sents,pos_counts_json,n_unique_lemmas,top_deprel_json
47,formal,123,6,"{""ADJ"": 9, ""ADP"": 16, ""ADV"": 5, ""AUX"": 5, ""CCONJ"": 8, ""DET"": 4, ""NOUN"": 42, ""NUM"": 1, ""PART"": 1, ""PRON"": 6, ""PUNCT"": 7, ""SCONJ"": 5, ""VERB"": 14}",68,"{""case"": 15, ""amod"": 10, ""obj"": 9, ""nsubj"": 9, ""conj"": 9, ""mark"": 8, ""obl"": 8, ""cc"": 8, ""punct"": 7, ""ROOT"": 6, ""det"": 4, ""nmod"": 4}"
48,formal,327,18,"{""ADJ"": 16, ""ADP"": 42, ""ADV"": 12, ""AUX"": 16, ""CCONJ"": 10, ""DET"": 19, ""NOUN"": 98, ""NUM"": 7, ""PART"": 8, ""PRON"": 22, ""PROPN"": 2, ""PUNCT"": 39, ""SCONJ"": 8, ""SYM"": 1, ""VERB"": 27}",130,"{""punct"": 39, ""case"": 36, ""nsubj"": 21, ""det"": 19, ""obl"": 19, ""ROOT"": 18, ""nmod"": 17, ""nmod:poss"": 15, ""conj"": 14, ""mark"": 14, ""advmod"": 13, ""obj"": 13}"
49,formal,108,5,"{""ADJ"": 7, ""ADP"": 18, ""ADV"": 3, ""AUX"": 1, ""CCONJ"": 6, ""DET"": 4, ""NOUN"": 34, ""NUM"": 1, ""PART"": 4, ""PRON"": 3, ""PUNCT"": 6, ""SCONJ"": 4, ""VERB"": 17}",68,"{""mark"": 11, ""case"": 11, ""nsubj"": 9, ""conj"": 7, ""obl"": 7, ""cc"": 6, ""obj"": 6, ""amod"": 6, ""punct"": 6, ""ROOT"": 5, ""advcl"": 5, ""fixed"": 4}"
50,formal,145,9,"{""ADJ"": 11, ""ADP"": 18, ""ADV"": 7, ""AUX"": 8, ""CCONJ"": 4, ""DET"": 15, ""NOUN"": 41, ""NUM"": 1, ""PART"": 3, ""PRON"": 5, ""PUNCT"": 9, ""SCONJ"": 2, ""VERB"": 21}",83,"{""nsubj"": 14, ""case"": 14, ""det"": 14, ""amod"": 9, ""ROOT"": 9, ""punct"": 9, ""obj"": 9, ""advmod"": 8, ""obl"": 8, ""aux"": 7, ""acl:relcl"": 6, ""mark"": 6}"
51,formal,242,12,"{""ADJ"": 21, ""ADP"": 23, ""ADV"": 12, ""AUX"": 10, ""CCONJ"": 10, ""DET"": 20, ""NOUN"": 53, ""NUM"": 2, ""PART"": 7, ""PRON"": 28, ""PROPN"": 2, ""PUNCT"": 19, ""SCONJ"": 5, ""VERB"": 30}",115,"{""nsubj"": 24, ""det"": 20, ""punct"": 19, ""case"": 16, ""amod"": 15, ""obj"": 15, ""conj"": 15, ""advmod"": 14, ""mark"": 13, ""ROOT"": 12, ""obl"": 12, ""cc"": 9}"
52,formal,140,5,"{""ADJ"": 10, ""ADP"": 18, ""ADV"": 6, ""AUX"": 5, ""CCONJ"": 13, ""DET"": 4, ""NOUN"": 44, ""NUM"": 2, ""PART"": 1, ""PRON"": 6, ""PROPN"": 4, ""PUNCT"": 13, ""SCONJ"": 1, ""VERB"": 13}",84,"{""conj"": 20, ""case"": 17, ""cc"": 13, ""punct"": 13, ""nmod"": 10, ""obl"": 8, ""amod"": 8, ""nsubj"": 7, ""nmod:poss"": 6, ""aux"": 5, ""ROOT"": 5, ""advmod"": 5}"
53,formal,135,9,"{""ADJ"": 11, ""ADP"": 21, ""ADV"": 3, ""AUX"": 4, ""CCONJ"": 4, ""DET"": 4, ""NOUN"": 44, ""NUM"": 1, ""PART"": 3, ""PRON"": 4, ""PROPN"": 4, ""PUNCT"": 11, ""SCONJ"": 5, ""VERB"": 16}",80,"{""case"": 18, ""obl"": 11, ""punct"": 11, ""nsubj"": 11, ""mark"": 10, ""ROOT"": 9, ""nmod"": 9, ""amod"": 7, ""obj"": 7, ""det"": 5, ""conj"": 5, ""nmod:poss"": 4}"
54,formal,220,12,"{""ADJ"": 16, ""ADP"": 28, ""ADV"": 11, ""AUX"": 14, ""CCONJ"": 20, ""DET"": 5, ""NOUN"": 74, ""PART"": 3, ""PRON"": 8, ""PUNCT"": 17, ""SCONJ"": 2, ""VERB"": 22}",105,"{""case"": 23, ""conj"": 21, ""cc"": 18, ""punct"": 17, ""nmod"": 13, ""amod"": 13, ""ROOT"": 12, ""obl"": 11, ""nsubj"": 10, ""advmod"": 10, ""nsubj:pass"": 9, ""aux"": 9}"
55,formal,151,8,"{""ADJ"": 9, ""ADP"": 21, ""ADV"": 2, ""AUX"": 8, ""CCONJ"": 7, ""DET"": 8, ""NOUN"": 34, ""NUM"": 8, ""PART"": 5, ""PRON"": 18, ""PUNCT"": 9, ""SCONJ"": 3, ""VERB"": 19}",71,"{""case"": 19, ""nsubj"": 13, ""obl"": 11, ""obj"": 9, ""punct"": 9, ""mark"": 9, ""det"": 8, ""ROOT"": 8, ""cc"": 7, ""conj"": 7, ""nmod"": 6, ""aux"": 5}"
56,formal,251,10,"{""ADJ"": 17, ""ADP"": 31, ""ADV"": 9, ""AUX"": 10, ""CCONJ"": 14, ""DET"": 14, ""NOUN"": 61, ""PART"": 8, ""PRON"": 24, ""PROPN"": 1, ""PUNCT"": 28, ""SCONJ"": 3, ""VERB"": 31}",132,"{""punct"": 28, ""case"": 26, ""nsubj"": 19, ""obj"": 18, ""amod"": 17, ""conj"": 15, ""det"": 14, ""obl"": 13, ""mark"": 13, ""cc"": 12, ""nmod"": 11, ""ROOT"": 10}"
