condition,feature,human_mean_pre,human_mean_post,human_mean_pct_change,llm_mean_pre,llm_mean_post,dz_pre,dz_post,dz_change,p_pre,p_post,n_pre,n_post
human_like,punct_semicolon,0.08990212816895816,0.021590965168891234,-75.98392206209611,0.003205684009028747,0.003248087236661402,-0.11164324336084147,-0.07088272193043105,0.040760521430410424,4.882091824038632e-05,0.03059891833352297,1149,1134
human_like,punct_colon,1.0342890521796884,1.0429047936414242,0.8330109889086404,0.849790030581272,0.8550794863144476,-0.029922919061788955,-0.03027150054026383,-0.0003485814784748749,5.286056730597039e-50,6.506317994892763e-50,1149,1134
human_like,punct_dash,0.005487029951493873,0.00555960971275702,1.3227513227513295,0.5298529220606717,0.5306032092935297,0.7713217680466214,0.7689499597851445,-0.002371808261476982,4.125634522002657e-116,1.7666539452064747e-114,1149,1134
human_like,punct_ellipsis,0.41206469454703326,0.4175685151742323,1.3356690587746665,0.0004245473264132119,0.000430163031789048,-0.1634582042068655,-0.1645796482827294,-0.0011214440758638977,2.4313168691231415e-20,2.4313168691231415e-20,1149,1134
detector_aware,bigram_repetition_rate,0.011042856646361383,0.01114060367285683,0.8851606937019736,0.024739032566823492,0.024877581070826594,0.488864824393647,0.4884856130602191,-0.0003792113334278868,6.451297952199818e-70,4.935410999873382e-69,1149,1134
detector_aware,trigram_repetition_rate,0.0025803094024209926,0.0026025238005892475,0.8609199403533573,0.002550089573095468,0.0025736090000172723,-0.00266958006729135,-0.002539712685300417,0.0001298673819909329,1.1319569929902168e-05,1.0120964419841279e-05,1149,1134
detector_aware,function_word_rate,0.48423069385216283,0.48532706535398357,0.22641511902082403,0.48424281661513846,0.48376097146179053,8.329946301222306e-05,-0.010782708368126764,-0.010866007831138986,0.0005430159964217897,8.350475843621091e-05,1149,1134
detector_aware,ttr,0.8597576711176025,0.8587306573936055,-0.11945385990705029,0.6860280326543196,0.685518204076831,-1.184009686564481,-1.178469584579209,0.005540101985271884,2.3539417805645968e-160,5.322986538514427e-158,1149,1134
detector_aware,mattr,0.865888100815796,0.8649214149982409,-0.11164096338133522,0.7659628504013698,0.765797963255892,-0.7619592512504327,-0.7551271093186565,0.006832141931776281,2.1678981300057074e-115,4.248416375015284e-113,1149,1134
detector_aware,mtld,77.42367214871422,77.55482205026986,0.16939250995965968,120.04352061715706,119.95869325934089,0.6993638632384032,0.6993422579063187,-2.1605332084506657e-05,9.075444295161426e-91,6.616965430550891e-90,963,952
detector_aware,punct_period,8.692933406035428,8.698476088750933,0.06376078656782742,4.56259164482786,4.5593986224677066,-0.2684643588780824,-0.2675884502960851,0.00087590858199732,1.0761315132458941e-33,6.462625884178615e-33,1149,1134
