condition,feature,human_mean_pre,human_mean_post,human_mean_pct_change,llm_mean_pre,llm_mean_post,dz_pre,dz_post,dz_change,p_pre,p_post,n_pre,n_post
baseline,punct_semicolon,0.08990212816895816,0.02130909878287438,-76.29744788373978,0.011583407637061676,0.011583407637061676,-0.10063673002845172,-0.03741709806311253,0.0632196319653392,0.08812882583556367,0.38196956248688074,1149,1149
baseline,punct_colon,1.0342890521796884,1.03473608401469,0.043221170528637345,1.012029229410945,1.012029229410945,-0.0035868384775804524,-0.0036587700366725795,-7.19315590921271e-05,4.281707841502187e-59,5.372821794651998e-59,1149,1149
baseline,punct_dash,0.005487029951493873,0.005487029951493873,0.0,0.6588021508728459,0.6588021508728459,0.8630046158575089,0.8630046158575089,0.0,5.330161029317321e-129,5.330161029317321e-129,1149,1149
baseline,punct_ellipsis,0.41206469454703326,0.41211722907535203,0.012749097171870005,0.0,0.0,-0.16363397735760757,-0.16364962405295566,-1.564669534809271e-05,2.7997440774887764e-20,2.7997440774887764e-20,1149,1149
human_like,bigram_repetition_rate,0.011042856646361383,0.01104339820413142,0.004904145615391413,0.026759518215433264,0.026759518215433264,0.5535797570258489,0.5535501319600638,-2.9625065785188198e-05,3.85286071445483e-77,4.020276384369198e-77,1149,1149
human_like,trigram_repetition_rate,0.0025803094024209926,0.0025803094024209926,0.0,0.003035782061948889,0.003035782061948889,0.0400921693544632,0.0400921693544632,0.0,6.535139282612665e-10,6.535139282612665e-10,1149,1149
human_like,function_word_rate,0.48423069385216283,0.48473872620811276,0.1049153559243462,0.471588952954826,0.471588952954826,-0.08709244364256725,-0.09073580072161755,-0.003643357079050294,3.187724597831261e-12,7.656771693010775e-13,1149,1149
human_like,ttr,0.8597576711176025,0.859628143123421,-0.015065639834670982,0.6848858947972779,0.6848858947972779,-1.1706297521164546,-1.1698600607893221,0.000769691327132449,1.5856988716217766e-158,1.6996948793004288e-158,1149,1149
human_like,mattr,0.865888100815796,0.8657621432822374,-0.01454662945938687,0.7711183357215524,0.7711183357215524,-0.7197522597939893,-0.7191485925760384,0.0006036672179509095,1.6537139062467579e-108,1.8803449539861873e-108,1149,1149
human_like,mtld,77.42367214871422,77.35127018601654,-0.09351398698658213,122.5569581536287,122.5569581536287,0.7222689809477794,0.7249944730080347,0.0027254920602552968,2.783457904573127e-93,8.403460384432131e-94,963,963
