Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADJ:0.0769 | ADP:0.0769 | AUX:0.0769 | NOUN:0.1538 | PART:0.0769 | PRON:0.1538 | PUNCT:0.3077 | VERB:0.0769,ADJ:0.0748 | ADP:0.0374 | ADV:0.0374 | AUX:0.0374 | CCONJ:0.0093 | DET:0.0093 | NOUN:0.0935 | PRON:0.0467 | PUNCT:0.5794 | SCONJ:0.0280 | VERB:0.0467,13,107
ADJ:0.1364 | ADP:0.0455 | ADV:0.1364 | AUX:0.0455 | CCONJ:0.0455 | NOUN:0.0455 | PRON:0.0909 | PROPN:0.0455 | PUNCT:0.3636 | VERB:0.0455,ADJ:0.1154 | ADP:0.0769 | ADV:0.1410 | AUX:0.0513 | CCONJ:0.0513 | NOUN:0.0641 | PART:0.0128 | PRON:0.0641 | PUNCT:0.3462 | SCONJ:0.0128 | VERB:0.0641,22,78
ADJ:0.1111 | ADP:0.1111 | ADV:0.1111 | NOUN:0.1111 | PROPN:0.2222 | PUNCT:0.3333,ADJ:0.0882 | ADP:0.0588 | ADV:0.0735 | AUX:0.0441 | CCONJ:0.0735 | NOUN:0.1176 | PRON:0.0441 | PUNCT:0.4265 | SCONJ:0.0147 | VERB:0.0588,9,68
ADJ:0.5000 | PUNCT:0.5000,ADJ:0.1167 | ADP:0.1000 | ADV:0.0833 | AUX:0.0167 | CCONJ:0.0167 | DET:0.0167 | NOUN:0.1833 | PRON:0.0333 | PUNCT:0.3167 | SCONJ:0.0333 | VERB:0.0833,6,60
ADJ:0.1111 | ADV:0.2222 | AUX:0.1111 | DET:0.1111 | NOUN:0.3333 | PUNCT:0.1111,ADJ:0.0769 | ADP:0.0462 | ADV:0.0769 | AUX:0.0308 | CCONJ:0.0615 | DET:0.0462 | INTJ:0.0154 | NOUN:0.1077 | NUM:0.0154 | PRON:0.0154 | PROPN:0.1692 | PUNCT:0.2308 | SCONJ:0.0308 | SYM:0.0154 | VERB:0.0615,9,65
ADJ:0.0476 | ADP:0.0476 | ADV:0.1429 | AUX:0.1429 | NOUN:0.0476 | PRON:0.0476 | PROPN:0.1905 | PUNCT:0.2381 | SCONJ:0.0476 | VERB:0.0476,ADJ:0.0182 | ADP:0.1273 | ADV:0.1091 | AUX:0.0364 | CCONJ:0.0364 | DET:0.0182 | INTJ:0.0182 | NOUN:0.0909 | PART:0.0182 | PRON:0.0727 | PROPN:0.0909 | PUNCT:0.1455 | SCONJ:0.0727 | VERB:0.1455,21,55
ADJ:0.0625 | ADP:0.0625 | ADV:0.1250 | AUX:0.0625 | PART:0.0625 | PRON:0.2500 | PROPN:0.1250 | PUNCT:0.1250 | VERB:0.1250,ADP:0.0270 | ADV:0.2432 | AUX:0.0541 | CCONJ:0.0270 | DET:0.0270 | NOUN:0.0811 | PART:0.0541 | PRON:0.0811 | PUNCT:0.1892 | SCONJ:0.0811 | VERB:0.1351,16,37
ADJ:0.0303 | ADP:0.0303 | ADV:0.1515 | AUX:0.0909 | CCONJ:0.0606 | DET:0.0606 | NOUN:0.1515 | PART:0.0303 | PRON:0.1212 | PUNCT:0.0606 | SCONJ:0.0909 | VERB:0.1212,ADJ:0.0816 | ADP:0.0612 | ADV:0.1020 | AUX:0.0204 | DET:0.0408 | INTJ:0.0204 | NOUN:0.1429 | PART:0.0612 | PRON:0.1020 | PUNCT:0.1429 | SCONJ:0.0816 | VERB:0.1429,33,49
ADP:0.1250 | ADV:0.0312 | AUX:0.0938 | DET:0.0312 | NOUN:0.1875 | PART:0.0312 | PRON:0.2188 | PUNCT:0.0625 | SCONJ:0.0938 | VERB:0.1250,ADJ:0.0714 | ADP:0.1071 | ADV:0.0893 | AUX:0.0714 | CCONJ:0.0536 | DET:0.0536 | INTJ:0.0179 | NOUN:0.1607 | PART:0.0357 | PRON:0.0714 | PUNCT:0.1071 | SCONJ:0.0357 | VERB:0.1250,32,56
ADJ:0.0769 | ADP:0.0769 | ADV:0.0769 | AUX:0.0769 | DET:0.1538 | NOUN:0.2308 | PRON:0.0769 | PUNCT:0.1538 | VERB:0.0769,ADJ:0.0847 | ADP:0.0678 | ADV:0.0847 | AUX:0.0508 | CCONJ:0.0339 | DET:0.0339 | INTJ:0.0169 | NOUN:0.1525 | PART:0.0169 | PRON:0.1186 | PROPN:0.0169 | PUNCT:0.1186 | SCONJ:0.0508 | SYM:0.0339 | VERB:0.1186,13,59
ADP:0.0625 | ADV:0.1875 | AUX:0.0625 | DET:0.0625 | NOUN:0.0625 | PART:0.1250 | PRON:0.1250 | PUNCT:0.1250 | VERB:0.1875,ADJ:0.0877 | ADP:0.1053 | ADV:0.0526 | AUX:0.0351 | CCONJ:0.0175 | DET:0.0702 | NOUN:0.1754 | PART:0.0351 | PRON:0.1053 | PUNCT:0.1228 | SCONJ:0.0526 | VERB:0.1404,16,57
ADJ:0.0667 | ADP:0.0667 | ADV:0.1333 | AUX:0.1333 | CCONJ:0.0667 | NOUN:0.1333 | PROPN:0.1333 | PUNCT:0.1333 | VERB:0.1333,ADJ:0.0658 | ADP:0.0855 | ADV:0.0987 | AUX:0.0592 | CCONJ:0.0592 | DET:0.0066 | NOUN:0.1908 | NUM:0.0066 | PART:0.0197 | PRON:0.0724 | PROPN:0.0263 | PUNCT:0.1382 | SCONJ:0.0461 | SYM:0.0197 | VERB:0.1053,15,152
ADJ:0.0400 | ADP:0.1600 | ADV:0.0800 | AUX:0.0800 | CCONJ:0.0400 | NOUN:0.2000 | PART:0.0400 | PRON:0.1200 | PROPN:0.0400 | PUNCT:0.0400 | SCONJ:0.0400 | VERB:0.1200,ADJ:0.0917 | ADP:0.0917 | ADV:0.1167 | AUX:0.0750 | CCONJ:0.0417 | DET:0.0167 | NOUN:0.2250 | PART:0.0167 | PRON:0.0333 | PROPN:0.0500 | PUNCT:0.1333 | SCONJ:0.0250 | SYM:0.0333 | VERB:0.0500,25,120
ADJ:0.1429 | ADP:0.0714 | ADV:0.0714 | AUX:0.0714 | CCONJ:0.0714 | NOUN:0.1429 | PRON:0.0714 | PROPN:0.0714 | PUNCT:0.1429 | SCONJ:0.0714 | VERB:0.0714,ADJ:0.0299 | ADP:0.0522 | ADV:0.1343 | AUX:0.0448 | CCONJ:0.0224 | DET:0.0075 | NOUN:0.2164 | PART:0.0075 | PRON:0.0672 | PROPN:0.0448 | PUNCT:0.2015 | SCONJ:0.0299 | SYM:0.0448 | VERB:0.0970,14,134
ADJ:0.0370 | ADP:0.0370 | ADV:0.2593 | AUX:0.1481 | CCONJ:0.0370 | NOUN:0.1481 | PRON:0.0741 | PUNCT:0.1852 | VERB:0.0741,ADJ:0.0599 | ADP:0.0778 | ADV:0.1497 | AUX:0.0419 | CCONJ:0.0419 | DET:0.0359 | NOUN:0.2096 | NUM:0.0060 | PART:0.0299 | PRON:0.0539 | PROPN:0.0240 | PUNCT:0.1138 | SCONJ:0.0180 | SYM:0.0120 | VERB:0.1257,27,167
ADJ:0.0652 | ADP:0.0978 | ADV:0.1522 | AUX:0.0652 | CCONJ:0.0326 | DET:0.0435 | NOUN:0.1413 | NUM:0.0109 | PART:0.0326 | PRON:0.0978 | PROPN:0.0217 | PUNCT:0.0870 | SCONJ:0.0326 | VERB:0.1196,ADJ:0.0824 | ADP:0.1059 | ADV:0.1000 | AUX:0.0353 | CCONJ:0.0412 | DET:0.0412 | NOUN:0.1882 | NUM:0.0059 | PART:0.0176 | PRON:0.0647 | PROPN:0.0294 | PUNCT:0.1235 | SCONJ:0.0235 | SYM:0.0235 | VERB:0.1176,92,170
ADP:0.0833 | ADV:0.0833 | NOUN:0.2500 | PROPN:0.1667 | PUNCT:0.3333 | VERB:0.0833,ADJ:0.0820 | ADP:0.0765 | ADV:0.1038 | AUX:0.0656 | CCONJ:0.0601 | DET:0.0273 | NOUN:0.1639 | NUM:0.0055 | PART:0.0164 | PRON:0.0656 | PROPN:0.0383 | PUNCT:0.1366 | SCONJ:0.0273 | SYM:0.0273 | VERB:0.1038,12,183
ADJ:0.0278 | ADP:0.0833 | ADV:0.0833 | AUX:0.0278 | CCONJ:0.0556 | NOUN:0.2222 | PRON:0.0278 | PROPN:0.0833 | PUNCT:0.0833 | SYM:0.2222 | VERB:0.0833,ADJ:0.0724 | ADP:0.0658 | ADV:0.1382 | AUX:0.0395 | CCONJ:0.0395 | DET:0.0395 | NOUN:0.1908 | NUM:0.0066 | PART:0.0066 | PRON:0.0592 | PROPN:0.0263 | PUNCT:0.1184 | SCONJ:0.0329 | SYM:0.0461 | VERB:0.1184,36,152
ADJ:0.0682 | ADP:0.1364 | ADV:0.1136 | AUX:0.0909 | CCONJ:0.0682 | NOUN:0.1364 | PART:0.0227 | PRON:0.0909 | PROPN:0.0227 | PUNCT:0.0455 | SCONJ:0.0455 | VERB:0.1591,ADJ:0.0606 | ADP:0.0808 | ADV:0.0875 | AUX:0.0438 | CCONJ:0.0337 | DET:0.0202 | NOUN:0.1785 | PART:0.0236 | PRON:0.0808 | PROPN:0.0303 | PUNCT:0.1549 | SCONJ:0.0471 | SYM:0.0370 | VERB:0.1212,44,297
ADP:0.1765 | ADV:0.1176 | NOUN:0.1176 | PART:0.1176 | PRON:0.1765 | PUNCT:0.1176 | VERB:0.1765,ADJ:0.0912 | ADP:0.0554 | ADV:0.0977 | AUX:0.0326 | CCONJ:0.0261 | DET:0.0293 | NOUN:0.1564 | NUM:0.0163 | PART:0.0293 | PRON:0.0717 | PROPN:0.0098 | PUNCT:0.2150 | SCONJ:0.0261 | SYM:0.0261 | VERB:0.1173,17,307
ADJ:0.0548 | ADP:0.1233 | ADV:0.1370 | AUX:0.0685 | CCONJ:0.0137 | DET:0.0274 | NOUN:0.1781 | NUM:0.0137 | PART:0.0411 | PRON:0.1233 | PROPN:0.0274 | PUNCT:0.0685 | SCONJ:0.0137 | VERB:0.1096,ADJ:0.0667 | ADP:0.0783 | ADV:0.1275 | AUX:0.0406 | CCONJ:0.0290 | DET:0.0232 | NOUN:0.1768 | NUM:0.0029 | PART:0.0145 | PRON:0.0812 | PROPN:0.0377 | PUNCT:0.1565 | SCONJ:0.0290 | SYM:0.0290 | VERB:0.1072,73,345
ADJ:0.0779 | ADP:0.0935 | ADV:0.1059 | AUX:0.0654 | CCONJ:0.0249 | DET:0.0405 | NOUN:0.1558 | NUM:0.0093 | PART:0.0249 | PRON:0.1402 | PROPN:0.0093 | PUNCT:0.0903 | SCONJ:0.0436 | VERB:0.1184,ADJ:0.0604 | ADP:0.0725 | ADV:0.0876 | AUX:0.0393 | CCONJ:0.0393 | DET:0.0242 | NOUN:0.1662 | PART:0.0332 | PRON:0.0967 | PROPN:0.0091 | PUNCT:0.2054 | SCONJ:0.0302 | SYM:0.0242 | VERB:0.1118,321,331
