Abstract_Dep_Counts,Generated_Abstract_Dep_Counts
ROOT:1 | advmod:5 | aux:1 | case:1 | det:1 | dislocated:1 | nsubj:2 | obj:1 | parataxis:1 | punct:2,ROOT:3 | acl:relcl:1 | advcl:2 | advmod:4 | amod:3 | aux:1 | case:6 | cc:1 | ccomp:1 | conj:1 | cop:1 | det:5 | fixed:1 | mark:4 | nmod:2 | nsubj:5 | obj:4 | obl:5 | parataxis:1 | punct:6
ROOT:2 | advmod:2 | amod:1 | aux:1 | case:1 | cc:1 | conj:1 | fixed:1 | nsubj:1 | obj:1 | obl:1 | punct:2,ROOT:8 | acl:1 | advcl:6 | advmod:13 | amod:8 | appos:2 | aux:3 | case:11 | cc:11 | compound:prt:2 | conj:9 | cop:7 | csubj:1 | det:1 | dislocated:1 | expl:3 | fixed:1 | mark:8 | nmod:10 | nsubj:8 | nsubj:pass:1 | obj:6 | obl:7 | parataxis:1 | punct:19 | xcomp:4
ROOT:1 | acl:relcl:1 | advcl:1 | advmod:2 | amod:1 | aux:2 | case:4 | cc:1 | compound:prt:1 | conj:1 | mark:1 | nmod:2 | nsubj:3 | obj:1 | obl:2 | punct:1,ROOT:6 | advcl:3 | advmod:14 | amod:5 | aux:3 | case:12 | cc:7 | compound:prt:1 | conj:9 | cop:6 | det:2 | expl:1 | fixed:3 | mark:5 | nmod:5 | nsubj:8 | obj:4 | obl:8 | parataxis:1 | punct:15 | xcomp:2
ROOT:2 | advcl:1 | advmod:2 | case:1 | cc:1 | conj:1 | cop:1 | mark:1 | nsubj:2 | punct:2,ROOT:5 | acl:relcl:1 | advcl:6 | advmod:12 | amod:3 | appos:3 | aux:3 | case:8 | cc:8 | compound:prt:1 | conj:8 | cop:2 | dep:3 | det:1 | expl:1 | fixed:1 | mark:4 | nmod:5 | nsubj:12 | obj:11 | obl:5 | parataxis:2 | punct:28 | xcomp:1
ROOT:4 | advcl:1 | advmod:5 | aux:1 | case:1 | cc:3 | conj:1 | cop:1 | mark:1 | nsubj:1 | nsubj:pass:1 | obj:2 | punct:5,ROOT:6 | acl:relcl:1 | advcl:6 | advmod:20 | amod:6 | aux:3 | case:11 | cc:9 | compound:prt:4 | conj:12 | cop:4 | csubj:2 | det:6 | dislocated:1 | expl:2 | fixed:2 | mark:8 | nmod:8 | nsubj:13 | nummod:1 | obj:9 | obl:8 | parataxis:1 | punct:19 | xcomp:5
ROOT:4 | acl:1 | advcl:2 | advmod:16 | amod:2 | appos:1 | aux:5 | case:6 | cc:3 | ccomp:1 | compound:prt:2 | conj:4 | cop:1 | det:4 | dislocated:1 | fixed:1 | iobj:1 | mark:6 | nmod:2 | nmod:poss:1 | nsubj:7 | obj:5 | obl:6 | punct:8 | xcomp:2,ROOT:8 | acl:1 | acl:relcl:2 | advcl:3 | advmod:15 | amod:8 | aux:4 | case:15 | cc:11 | compound:prt:2 | conj:14 | cop:3 | det:6 | expl:1 | fixed:4 | mark:8 | nmod:4 | nsubj:12 | obj:13 | obl:11 | parataxis:2 | punct:21 | xcomp:2
ROOT:2 | case:1 | compound:prt:1 | conj:2 | flat:name:1 | obl:1 | punct:4,ROOT:8 | acl:relcl:1 | advcl:6 | advmod:18 | amod:7 | appos:2 | aux:5 | case:11 | cc:17 | compound:prt:3 | conj:15 | cop:7 | det:5 | fixed:5 | flat:name:1 | mark:6 | nmod:2 | nsubj:12 | obj:10 | obl:11 | parataxis:4 | punct:24 | xcomp:3
ROOT:1 | advmod:1 | amod:1 | appos:1 | aux:1 | case:4 | cc:8 | conj:7 | dep:1 | fixed:2 | nmod:2 | nsubj:pass:1 | obj:1 | obl:2 | punct:3,ROOT:6 | acl:relcl:1 | advcl:2 | advmod:16 | amod:7 | appos:2 | aux:2 | case:10 | cc:13 | ccomp:1 | compound:prt:3 | conj:14 | cop:4 | csubj:2 | det:5 | expl:2 | fixed:1 | mark:6 | nmod:7 | nsubj:9 | obj:12 | obl:4 | parataxis:3 | punct:19 | xcomp:1
ROOT:2 | acl:relcl:1 | advcl:2 | advmod:4 | amod:2 | aux:3 | case:4 | cc:3 | ccomp:1 | compound:prt:2 | conj:3 | cop:1 | mark:4 | nsubj:3 | obj:3 | obl:4 | punct:2,ROOT:14 | acl:1 | acl:cleft:1 | acl:relcl:2 | advcl:7 | advmod:25 | amod:15 | appos:4 | aux:7 | case:20 | cc:20 | ccomp:3 | compound:prt:2 | conj:22 | cop:6 | det:6 | expl:2 | fixed:2 | flat:name:1 | mark:20 | nmod:6 | nmod:poss:1 | nsubj:22 | nsubj:pass:1 | obj:17 | obl:17 | parataxis:3 | punct:46 | xcomp:4
ROOT:2 | advcl:1 | advmod:2 | case:1 | compound:prt:1 | mark:2 | nsubj:2 | obj:3 | obl:1 | punct:2,ROOT:16 | acl:1 | acl:relcl:1 | advcl:6 | advmod:29 | amod:19 | appos:3 | aux:3 | case:17 | cc:15 | ccomp:3 | compound:prt:3 | conj:21 | cop:7 | csubj:1 | det:9 | dislocated:1 | expl:3 | fixed:2 | mark:16 | nmod:2 | nsubj:22 | nsubj:pass:1 | nummod:4 | obj:13 | obl:12 | parataxis:6 | punct:66 | xcomp:5
